Object,Close-Approach (CA) Date,CA DistanceNominal (au),CA DistanceMinimum (au),V relative(km/s),V infinity(km/s),H(mag),Diameter,Rarity,Diameter Max
(2019 QW2),2021-01-03 00:01:00,0.02251,0.02251,4.89,4.87,24.8,29 m -   65 m,0.0,65.0
(2021 AQ3),2021-01-03 00:01:00,0.02874,0.02845,12.0,11.99,26.5,13 m -   30 m,0.0,30.0
(2020 YA1),2021-01-03 00:01:00,0.0104,0.01036,3.7,3.63,26.8,12 m -   27 m,0.0,27.0
(2020 YP4),2021-01-03 00:02:00,0.01466,0.01456,6.83,6.8,26.1,16 m -   37 m,0.0,37.0
(2021 AO4),2021-01-04 00:03:00,0.01539,0.01526,15.18,15.17,27.6,7.9 m -   18 m,0.0,18.0
(2021 AH8),2021-01-04 00:05:00,0.00035,0.00035,25.99,25.7,29.6,3.2 m -  7.2 m,1.0,7.2
(2021 BV),2021-01-04 02:07:00,0.0312,0.03026,13.26,13.25,25.6,20 m -   46 m,0.0,46.0
(2021 BU),2021-01-05 02:16:00,0.01634,0.01586,14.39,14.38,26.1,16 m -   36 m,0.0,36.0
(2021 BA2),2021-01-07 00:01:00,0.04628,0.04613,10.76,10.76,24.8,29 m -   65 m,0.0,65.0
(2021 AX5),2021-01-07 00:02:00,0.04614,0.045,27.39,27.39,24.0,42 m -   94 m,0.0,94.0
(2021 AW6),2021-01-07 00:04:00,0.02772,0.02731,8.92,8.91,26.2,16 m -   35 m,0.0,35.0
(2021 AT),2021-01-07 00:04:00,0.02613,0.02587,10.77,10.76,26.4,14 m -   31 m,0.0,31.0
(2021 AZ3),2021-01-07 00:05:00,0.00266,0.00264,18.57,18.51,28.3,5.8 m -   13 m,0.0,13.0
(2021 BF2),2021-01-07 00:17:00,0.01268,0.01261,9.01,8.98,26.2,15 m -   34 m,0.0,34.0
(2021 AF6),2021-01-07 00:21:00,0.00282,0.0028,10.16,10.07,26.2,16 m -   35 m,1.0,35.0
(2021 AD5),2021-01-08 00:06:00,0.01437,0.01426,5.68,5.64,28.3,5.8 m -   13 m,0.0,13.0
(2021 BD2),2021-01-08 00:49:00,0.0294,0.02897,12.35,12.35,25.6,20 m -   46 m,0.0,46.0
(2021 BM2),2021-01-08 01:19:00,0.01488,0.01465,8.78,8.76,27.3,9.2 m -   21 m,0.0,21.0
(2021 AA7),2021-01-10 00:01:00,0.01425,0.01418,5.61,5.57,27.3,9.1 m -   20 m,0.0,20.0
(2021 AK5),2021-01-12 00:03:00,0.02547,0.02534,2.68,2.64,27.8,7.2 m -   16 m,0.0,16.0
(2021 BL2),2021-01-12 01:13:00,0.00454,0.00445,12.64,12.59,28.6,5.2 m -   12 m,0.0,12.0
(2021 BL1),2021-01-14 00:04:00,0.02465,0.02455,5.68,5.66,28.0,6.7 m -   15 m,0.0,15.0
(2021 BB),2021-01-14 00:05:00,0.00849,0.00847,5.27,5.21,28.0,6.6 m -   15 m,0.0,15.0
(2021 BO2),2021-01-14 00:13:00,0.00634,0.0063,10.63,10.59,28.4,5.5 m -   12 m,0.0,12.0
(2021 AR7),2021-01-14 00:14:00,0.04203,0.04172,6.95,6.94,26.6,13 m -   28 m,0.0,28.0
(2021 CW1),2021-01-15 02:03:00,0.03154,0.03026,9.89,9.88,25.2,24 m -   54 m,0.0,54.0
(2017 QW1),2021-01-15 08:17:00,0.04542,0.04473,4.0,3.98,26.2,15 m -   34 m,0.0,34.0
(2021 BC3),2021-01-16 00:43:00,0.04043,0.03978,6.11,6.1,27.4,9.0 m -   20 m,0.0,20.0
(2021 CR4),2021-01-18 02:48:00,0.02258,0.02229,5.68,5.66,26.8,12 m -   26 m,0.0,26.0
(2021 BQ1),2021-01-19 00:02:00,0.01446,0.0144,7.96,7.93,27.9,7.0 m -   16 m,0.0,16.0
(2021 AN4),2021-01-19 00:04:00,0.03062,0.03051,3.62,3.59,27.5,8.4 m -   19 m,0.0,19.0
(2021 BP13),2021-01-20 01:32:00,0.00803,0.00462,9.05,9.02,27.4,8.8 m -   20 m,0.0,20.0
(2021 CD9),2021-01-20 02:33:00,0.02323,0.02275,8.19,8.17,25.5,21 m -   47 m,0.0,47.0
(2021 CJ6),2021-01-22 00:03:00,0.02442,0.02438,6.65,6.63,26.1,16 m -   36 m,0.0,36.0
(2018 BX),2021-01-22 12:17:00,0.02279,0.01831,6.13,6.11,29.1,4.0 m -  9.0 m,0.0,9.0
(2021 BL3),2021-01-24 00:01:00,0.01955,0.01953,24.53,24.53,24.7,30 m -   68 m,0.0,68.0
(2021 CY8),2021-01-24 00:21:00,0.0219,0.02168,7.61,7.59,26.0,17 m -   38 m,0.0,38.0
(2021 CG2),2021-01-25 00:06:00,0.01902,0.01888,10.77,10.75,25.4,22 m -   49 m,0.0,49.0
(2021 CG5),2021-01-28 00:27:00,0.01939,0.01888,10.74,10.72,26.1,16 m -   37 m,0.0,37.0
(2021 CY),2021-02-01 00:01:00,0.01066,0.0106,13.83,13.82,27.7,7.7 m -   17 m,0.0,17.0
(2021 CJ3),2021-02-02 00:01:00,0.00818,0.00811,12.17,12.14,27.5,8.3 m -   19 m,0.0,19.0
(2021 CV),2021-02-04 00:02:00,0.00135,0.00134,12.69,12.54,28.9,4.4 m -  9.9 m,0.0,9.9
(2021 CZ),2021-02-04 10:48:00,0.04427,0.04275,5.35,5.34,27.1,10 m -   23 m,0.0,23.0
(2021 CM),2021-02-05 00:01:00,0.03161,0.0314,7.05,7.04,27.1,10 m -   23 m,0.0,23.0
(2021 CK3),2021-02-05 00:02:00,0.00261,0.0026,13.75,13.68,29.8,2.9 m -  6.5 m,0.0,6.5
(2021 CM3),2021-02-05 00:05:00,0.01064,0.01056,16.86,16.85,27.3,9.2 m -   21 m,0.0,21.0
(2018 PN22),2021-02-05 01:16:00,0.03268,0.03261,2.51,2.47,27.5,8.4 m -   19 m,0.0,19.0
(2021 CU9),2021-02-07 00:05:00,0.04844,0.04764,6.28,6.27,26.0,17 m -   38 m,0.0,38.0
(2021 CS1),2021-02-07 00:17:00,0.04627,0.0454,7.26,7.25,26.2,15 m -   34 m,0.0,34.0
(2021 CZ5),2021-02-08 00:03:00,0.04421,0.04391,9.35,9.35,25.9,18 m -   39 m,0.0,39.0
(2021 CA1),2021-02-08 00:27:00,0.0141,0.01401,4.23,4.18,28.4,5.6 m -   12 m,0.0,12.0
(2021 CX1),2021-02-09 00:01:00,0.00529,0.00527,13.9,13.86,28.1,6.4 m -   14 m,0.0,14.0
(2021 DQ1),2021-02-10 00:01:00,0.04048,0.04002,8.28,8.27,26.3,15 m -   33 m,0.0,33.0
(2021 CG10),2021-02-10 00:07:00,0.02074,0.02021,12.67,12.66,26.7,12 m -   27 m,0.0,27.0
(2021 DY1),2021-02-10 00:10:00,0.02496,0.02435,11.52,11.52,26.6,13 m -   29 m,0.0,29.0
(2021 CE3),2021-02-10 00:53:00,0.04895,0.04859,4.23,4.21,26.7,12 m -   27 m,0.0,27.0
(2021 DJ1),2021-02-11 00:21:00,0.0064,0.00636,6.02,5.95,27.7,7.8 m -   17 m,0.0,17.0
(2021 CL),2021-02-12 00:01:00,0.01926,0.01919,2.64,2.59,28.5,5.3 m -   12 m,0.0,12.0
(2021 DH1),2021-02-12 00:04:00,0.01024,0.01012,11.03,11.01,26.9,11 m -   25 m,0.0,25.0
(2021 CH5),2021-02-17 00:01:00,0.03117,0.03082,9.04,9.03,26.8,12 m -   26 m,0.0,26.0
(2021 CH37),2021-02-17 00:45:00,0.00376,0.00373,7.35,7.25,28.0,6.8 m -   15 m,0.0,15.0
(2021 DE2),2021-02-19 00:02:00,0.00318,0.00317,13.53,13.47,25.9,18 m -   39 m,1.0,39.0
(2021 CE8),2021-02-19 00:31:00,0.01911,0.0189,12.22,12.21,28.1,6.4 m -   14 m,0.0,14.0
(2021 EN),2021-02-22 00:02:00,0.01671,0.01659,5.4,5.37,26.5,14 m -   30 m,0.0,30.0
(2021 ED1),2021-03-03 00:01:00,0.01326,0.01318,7.31,7.29,28.1,6.4 m -   14 m,0.0,14.0
(2021 DE1),2021-03-03 00:02:00,0.01126,0.01122,2.95,2.87,27.5,8.4 m -   19 m,0.0,19.0
(2021 EC3),2021-03-03 00:02:00,0.01617,0.01593,17.18,17.17,25.5,21 m -   47 m,0.0,47.0
(2021 EB2),2021-03-03 00:28:00,0.0059,0.00584,10.49,10.45,28.4,5.6 m -   13 m,0.0,13.0
(2021 EZ1),2021-03-05 00:03:00,0.00514,0.00513,13.2,13.16,28.3,5.8 m -   13 m,0.0,13.0
(2021 FD2),2021-03-05 00:06:00,0.04319,0.04253,5.03,5.01,26.7,12 m -   27 m,0.0,27.0
(2021 FC3),2021-03-05 00:11:00,0.01109,0.01104,4.57,4.51,25.6,20 m -   45 m,0.0,45.0
(2021 EK1),2021-03-06 00:02:00,0.04091,0.04053,7.57,7.56,26.4,14 m -   32 m,0.0,32.0
(2021 GS4),2021-03-09 04:21:00,0.04121,0.04061,5.74,5.72,25.8,18 m -   41 m,0.0,41.0
(2021 ER4),2021-03-11 00:04:00,0.00373,0.00372,12.94,12.89,27.1,10 m -   22 m,0.0,22.0
(2021 FD50),2021-03-11 00:04:00,0.02654,0.02607,8.39,8.37,26.9,11 m -   25 m,0.0,25.0
(2021 FW),2021-03-11 00:07:00,0.02935,0.02899,11.15,11.14,26.9,11 m -   25 m,0.0,25.0
(2021 FC2),2021-03-11 01:36:00,0.02502,0.02478,9.57,9.56,27.2,9.6 m -   21 m,0.0,21.0
(2021 EP3),2021-03-14 00:30:00,0.01649,0.016,19.75,19.74,26.8,12 m -   26 m,0.0,26.0
(2021 FO2),2021-03-15 00:16:00,0.04331,0.04232,4.66,4.64,27.1,10 m -   23 m,0.0,23.0
(2021 DT),2021-03-16 00:03:00,0.04687,0.04651,7.31,7.3,25.0,26 m -   58 m,0.0,58.0
(2021 FL2),2021-03-17 00:19:00,0.01321,0.01309,9.18,9.16,28.0,6.7 m -   15 m,0.0,15.0
(2021 FK2),2021-03-19 00:02:00,0.02747,0.02739,2.58,2.54,27.9,6.9 m -   15 m,0.0,15.0
(2021 GY9),2021-03-20 00:04:00,0.03513,0.03491,11.27,11.26,25.3,23 m -   52 m,0.0,52.0
(2021 FM2),2021-03-20 00:04:00,0.00056,0.00056,11.31,10.88,30.3,2.3 m -  5.2 m,0.0,5.2
(2021 FB2),2021-03-20 00:27:00,0.02929,0.02896,4.08,4.06,27.6,8.0 m -   18 m,0.0,18.0
(2021 FJ2),2021-03-22 00:06:00,0.02166,0.02159,7.83,7.81,27.8,7.3 m -   16 m,0.0,16.0
(2021 GU1),2021-03-23 00:02:00,0.01851,0.01846,10.39,10.38,24.7,30 m -   68 m,0.0,68.0
(2021 GS1),2021-03-24 00:01:00,0.02392,0.02379,4.77,4.74,27.4,8.7 m -   19 m,0.0,19.0
(2021 GD24),2021-03-25 00:03:00,0.00436,0.00435,8.04,7.96,26.1,16 m -   36 m,1.0,36.0
(2021 GE1),2021-03-25 00:04:00,0.01788,0.01775,20.44,20.44,23.4,55 m -  120 m,1.0,120.0
(2021 FA1),2021-03-28 00:01:00,0.00932,0.00928,3.95,3.87,28.8,4.7 m -   10 m,0.0,10.0
(2021 GD2),2021-03-29 00:03:00,0.00744,0.00733,14.36,14.34,27.2,9.8 m -   22 m,0.0,22.0
(2021 GR2),2021-03-30 00:05:00,0.02437,0.02392,22.22,22.21,26.5,13 m -   30 m,0.0,30.0
(2021 GO3),2021-03-30 00:06:00,0.03821,0.03753,7.11,7.1,27.2,9.8 m -   22 m,0.0,22.0
(2021 FD1),2021-03-31 02:02:00,0.0255,0.02461,9.27,9.26,26.7,12 m -   28 m,0.0,28.0
(2021 GZ3),2021-04-01 00:03:00,0.0287,0.02835,19.56,19.55,25.4,22 m -   49 m,0.0,49.0
(2021 FT),2021-04-02 00:07:00,0.01096,0.01066,5.42,5.38,27.1,10 m -   23 m,0.0,23.0
(2021 GW3),2021-04-02 00:16:00,0.00512,0.00508,10.94,10.89,28.4,5.5 m -   12 m,0.0,12.0
(2021 GU3),2021-04-02 00:28:00,0.0075,0.00742,7.97,7.92,26.9,11 m -   25 m,0.0,25.0
(2021 JV2),2021-04-03 00:18:00,0.0433,0.04324,3.58,3.56,25.3,23 m -   52 m,0.0,52.0
(2021 GA22),2021-04-03 01:35:00,0.03203,0.03073,11.36,11.35,26.5,13 m -   30 m,0.0,30.0
(2021 GQ4),2021-04-04 00:05:00,0.03466,0.03453,6.62,6.61,25.6,20 m -   45 m,0.0,45.0
(2021 GY7),2021-04-04 03:04:00,0.0216,0.0183,6.32,6.3,27.0,10 m -   23 m,0.0,23.0
(2021 GU12),2021-04-07 00:01:00,0.00734,0.00732,8.7,8.66,27.8,7.3 m -   16 m,0.0,16.0
(2020 GE1),2021-04-07 00:10:00,0.03117,0.03108,4.18,4.16,27.1,10 m -   23 m,0.0,23.0
(2021 GM2),2021-04-08 00:02:00,0.03883,0.03786,14.03,14.02,25.6,20 m -   44 m,0.0,44.0
(2021 TS10),2021-04-09 00:28:00,0.0163,0.01524,8.59,8.58,25.6,20 m -   46 m,0.0,46.0
(2021 GB10),2021-04-10 00:01:00,0.00264,0.00263,16.94,16.88,28.7,4.9 m -   11 m,0.0,11.0
(2021 HL1),2021-04-11 00:11:00,0.03307,0.03158,20.26,20.25,25.6,20 m -   44 m,0.0,44.0
(2021 GQ),2021-04-12 00:01:00,0.02048,0.02024,5.97,5.95,25.8,18 m -   41 m,0.0,41.0
(2021 HC2),2021-04-12 00:02:00,0.00377,0.00376,5.49,5.36,28.8,4.6 m -   10 m,0.0,10.0
(2021 GW16),2021-04-14 00:02:00,0.0002,0.00019,12.79,11.68,30.1,2.5 m -  5.7 m,1.0,5.7
(2021 HA2),2021-04-15 00:02:00,0.00865,0.00862,10.44,10.41,27.1,10 m -   23 m,0.0,23.0
(2021 GE6),2021-04-15 00:03:00,0.00745,0.00739,3.34,3.24,28.8,4.6 m -   10 m,0.0,10.0
(2020 UY1),2021-04-15 04:37:00,0.04101,0.03605,8.75,8.74,26.0,17 m -   38 m,0.0,38.0
(2021 HB2),2021-04-16 00:01:00,0.00939,0.00937,5.95,5.91,28.3,5.7 m -   13 m,0.0,13.0
(2021 HB),2021-04-17 00:01:00,0.01713,0.01702,17.04,17.03,26.7,12 m -   27 m,0.0,27.0
(2021 HY2),2021-04-17 00:02:00,0.005,0.00497,7.89,7.82,28.9,4.5 m - 10.0 m,0.0,10.0
(2021 GU5),2021-04-17 00:07:00,0.0134,0.01332,8.31,8.28,25.8,18 m -   41 m,0.0,41.0
(2020 HE5),2021-04-17 00:09:00,0.02178,0.02143,4.32,4.29,27.7,7.7 m -   17 m,0.0,17.0
(2021 GD13),2021-04-18 00:05:00,0.00327,0.00325,17.45,17.4,28.4,5.6 m -   12 m,0.0,12.0
(2021 GA10),2021-04-19 00:07:00,0.00373,0.00373,11.25,11.18,27.7,7.7 m -   17 m,0.0,17.0
(2021 GX7),2021-04-20 00:05:00,0.0166,0.01647,11.03,11.02,26.7,12 m -   27 m,0.0,27.0
(2019 HQ),2021-04-20 06:12:00,0.0376,0.03461,8.8,8.79,26.3,15 m -   33 m,0.0,33.0
(2021 GZ9),2021-04-22 00:05:00,0.04098,0.04061,3.19,3.17,26.4,14 m -   31 m,0.0,31.0
(2020 HO5),2021-04-22 00:09:00,0.04234,0.04213,3.34,3.32,28.5,5.3 m -   12 m,0.0,12.0
(2021 JG),2021-04-22 01:17:00,0.02073,0.02051,9.56,9.55,26.1,16 m -   35 m,0.0,35.0
(2021 JJ4),2021-04-24 00:57:00,0.02284,0.02218,8.64,8.63,26.1,16 m -   35 m,0.0,35.0
(2021 JH),2021-04-28 00:25:00,0.00589,0.00575,13.0,12.97,27.6,8.1 m -   18 m,0.0,18.0
(2021 JB3),2021-04-29 00:03:00,0.02758,0.02726,7.43,7.42,26.1,16 m -   35 m,0.0,35.0
(2021 HA),2021-04-30 00:01:00,0.0199,0.01978,5.95,5.92,25.6,20 m -   46 m,0.0,46.0
(2021 JP2),2021-05-01 00:12:00,0.01462,0.01445,20.19,20.18,25.3,23 m -   51 m,0.0,51.0
(2019 VT3),2021-05-01 00:57:00,0.03091,0.02958,5.94,5.92,28.2,6.1 m -   14 m,0.0,14.0
(2021 JH5),2021-05-02 00:15:00,0.01757,0.01752,14.86,14.85,25.7,19 m -   42 m,0.0,42.0
(2021 KM),2021-05-04 00:49:00,0.03519,0.0348,8.97,8.96,25.6,20 m -   46 m,0.0,46.0
(2021 KY),2021-05-05 00:04:00,0.03476,0.03455,8.64,8.63,25.1,25 m -   56 m,0.0,56.0
(2021 JE),2021-05-06 00:01:00,0.04531,0.04507,8.21,8.2,25.8,19 m -   41 m,0.0,41.0
(2021 AE4),2021-05-06 00:01:00,0.0473,0.04729,9.07,9.06,21.8,120 m -  260 m,1.0,260.0
(2021 JE6),2021-05-07 00:01:00,0.02414,0.0239,15.67,15.66,25.0,27 m -   61 m,0.0,61.0
(2021 HF1),2021-05-07 00:01:00,0.03185,0.03174,2.85,2.82,27.9,7.2 m -   16 m,0.0,16.0
(2021 KB1),2021-05-07 00:02:00,0.03779,0.03762,3.38,3.36,26.6,13 m -   29 m,0.0,29.0
(2022 VF),2021-05-09 00:33:00,0.04969,0.04934,7.84,7.83,27.9,7.1 m -   16 m,0.0,16.0
(2021 JX3),2021-05-11 00:04:00,0.04787,0.04737,13.46,13.46,25.3,23 m -   51 m,0.0,51.0
(2021 JG2),2021-05-12 00:01:00,0.03277,0.03245,9.67,9.66,26.5,14 m -   30 m,0.0,30.0
(2021 JD),2021-05-12 00:20:00,0.0425,0.04229,2.86,2.83,26.6,13 m -   28 m,0.0,28.0
(2021 LT),2021-05-14 04:25:00,0.04408,0.04312,10.62,10.62,25.6,20 m -   45 m,0.0,45.0
(2021 JR57),2021-05-15 02:37:00,0.0231,0.01346,12.88,12.87,24.6,32 m -   71 m,0.0,71.0
(2021 KR1),2021-05-16 00:03:00,0.00952,0.00947,8.03,8.0,27.6,7.9 m -   18 m,0.0,18.0
(2021 KJ2),2021-05-18 00:03:00,0.0125,0.01235,14.82,14.8,26.3,15 m -   33 m,0.0,33.0
(2021 KS1),2021-05-18 00:09:00,0.01827,0.01817,3.82,3.79,28.3,5.9 m -   13 m,0.0,13.0
(2021 LR2),2021-05-19 00:10:00,0.03925,0.03903,8.38,8.37,25.0,27 m -   60 m,0.0,60.0
(2021 KK1),2021-05-20 00:06:00,0.03318,0.03159,6.74,6.73,25.2,25 m -   55 m,0.0,55.0
(2021 LP),2021-05-21 00:03:00,0.02905,0.02891,13.23,13.23,24.4,34 m -   77 m,0.0,77.0
(2021 KW),2021-05-22 00:02:00,0.0051,0.00508,15.52,15.49,27.8,7.4 m -   17 m,0.0,17.0
(2021 KC1),2021-05-23 00:03:00,0.04105,0.0406,7.58,7.57,25.9,17 m -   38 m,0.0,38.0
(2021 KL1),2021-05-23 00:09:00,0.00823,0.00816,10.84,10.81,27.4,8.7 m -   20 m,0.0,20.0
(2021 KO),2021-05-23 00:17:00,0.03185,0.03141,7.99,7.98,26.3,14 m -   32 m,0.0,32.0
(2021 KL),2021-05-24 00:04:00,0.00741,0.00736,11.56,11.53,27.4,9.0 m -   20 m,0.0,20.0
(2021 LN),2021-05-25 00:03:00,0.01484,0.01474,11.05,11.03,23.8,45 m -  100 m,1.0,100.0
(2021 KA17),2021-05-25 01:15:00,0.03746,0.03313,10.62,10.62,21.9,110 m -  240 m,1.0,240.0
(2021 LV),2021-05-27 00:03:00,0.00188,0.00187,14.89,14.79,27.9,6.9 m -   15 m,0.0,15.0
(2021 KR),2021-05-27 02:04:00,0.03028,0.02944,8.75,8.74,27.6,8.2 m -   18 m,0.0,18.0
(2021 LL15),2021-05-27 02:57:00,0.01038,0.01027,10.37,10.34,26.5,14 m -   30 m,0.0,30.0
(2022 XL),2021-05-29 03:14:00,0.00255,0.00144,9.69,9.58,29.3,3.7 m -  8.2 m,0.0,8.2
(2021 KT2),2021-06-01 00:02:00,0.00195,0.00194,8.41,8.24,28.4,5.6 m -   12 m,0.0,12.0
(2018 LB),2021-06-01 19:12:00,0.00746,0.00234,7.7,7.65,26.0,17 m -   38 m,0.0,38.0
(2021 LE),2021-06-03 00:02:00,0.03231,0.03217,8.96,8.96,25.3,24 m -   53 m,0.0,53.0
(2021 LX1),2021-06-04 00:03:00,0.00107,0.00106,17.36,17.22,27.1,10 m -   23 m,1.0,23.0
(2021 KF2),2021-06-05 00:26:00,0.03359,0.03259,11.19,11.19,22.9,69 m -  150 m,1.0,150.0
(2021 LU5),2021-06-10 00:10:00,0.04114,0.04034,8.67,8.66,24.3,38 m -   84 m,0.0,84.0
(2021 MW),2021-06-12 00:02:00,0.01334,0.01321,15.14,15.13,24.4,35 m -   78 m,1.0,78.0
(2021 NV8),2021-06-17 00:27:00,0.03605,0.03513,4.32,4.3,25.4,23 m -   51 m,0.0,51.0
(2021 NR1),2021-06-18 00:13:00,0.02872,0.02843,8.07,8.05,25.8,19 m -   42 m,0.0,42.0
(2021 LK9),2021-06-21 00:04:00,0.01349,0.0132,11.55,11.53,25.5,21 m -   48 m,0.0,48.0
(2021 MZ1),2021-06-22 00:03:00,0.00528,0.00527,8.27,8.21,25.2,24 m -   53 m,1.0,53.0
(2021 NO1),2021-06-28 00:30:00,0.02407,0.02326,9.68,9.67,25.1,26 m -   57 m,0.0,57.0
(2021 NM),2021-06-29 00:08:00,0.01048,0.01042,15.45,15.44,26.2,15 m -   34 m,0.0,34.0
(2021 NL8),2021-07-02 05:41:00,0.01976,0.01916,10.12,10.11,26.4,14 m -   31 m,0.0,31.0
(2021 NR2),2021-07-05 00:01:00,0.01037,0.01033,9.04,9.01,26.9,11 m -   25 m,0.0,25.0
(2021 NK2),2021-07-06 00:01:00,0.04085,0.04049,12.96,12.96,24.9,28 m -   63 m,0.0,63.0
(2021 NB8),2021-07-06 00:29:00,0.00623,0.00616,7.61,7.56,28.1,6.2 m -   14 m,0.0,14.0
(2021 NE),2021-07-10 00:04:00,0.01484,0.01478,9.67,9.65,26.7,12 m -   27 m,0.0,27.0
(2021 PO1),2021-07-11 00:18:00,0.04785,0.04699,8.72,8.72,24.3,37 m -   84 m,0.0,84.0
(2021 OH),2021-07-13 00:07:00,0.00476,0.00474,8.55,8.48,26.8,12 m -   27 m,0.0,27.0
(2019 AT6),2021-07-13 04:06:00,0.01083,0.00938,5.15,5.1,27.6,8.0 m -   18 m,0.0,18.0
(2021 NX1),2021-07-19 00:01:00,0.01658,0.01647,10.55,10.54,25.9,18 m -   40 m,0.0,40.0
(2021 PT3),2021-07-19 00:09:00,0.0324,0.03221,6.0,5.99,25.7,20 m -   44 m,0.0,44.0
(2021 PC15),2021-07-19 01:10:00,0.04814,0.04733,7.73,7.72,25.4,22 m -   50 m,0.0,50.0
(2021 OV),2021-07-20 01:00:00,0.00131,0.00119,14.04,13.89,27.8,7.5 m -   17 m,1.0,17.0
(2021 NO3),2021-07-21 00:01:00,0.02391,0.02367,20.19,20.19,23.6,51 m -  110 m,1.0,110.0
(2021 NA8),2021-07-21 00:06:00,0.00967,0.00964,10.05,10.03,26.2,15 m -   34 m,0.0,34.0
(2021 PX),2021-07-24 03:34:00,0.02754,0.02683,9.5,9.49,26.3,15 m -   33 m,0.0,33.0
(2021 PC2),2021-07-25 00:07:00,0.02844,0.02815,10.12,10.11,24.7,31 m -   70 m,0.0,70.0
(2020 BW12),2021-07-27 06:55:00,0.04281,0.04171,9.79,9.78,26.1,16 m -   36 m,0.0,36.0
(2021 PA3),2021-07-29 00:14:00,0.02856,0.0284,6.11,6.1,27.4,9.0 m -   20 m,0.0,20.0
(2021 PZ9),2021-07-30 00:14:00,0.0199,0.01968,6.28,6.26,26.9,11 m -   24 m,0.0,24.0
(2021 PF7),2021-07-31 00:08:00,0.01312,0.01299,6.22,6.19,27.8,7.3 m -   16 m,0.0,16.0
(2022 OW3),2021-08-02 00:16:00,0.04391,0.04157,7.11,7.1,26.4,14 m -   31 m,0.0,31.0
(2021 PY4),2021-08-05 00:04:00,0.00188,0.00187,17.47,17.39,26.5,13 m -   29 m,1.0,29.0
(2021 PK4),2021-08-06 00:02:00,0.0016,0.00159,12.11,11.97,28.2,6.1 m -   14 m,0.0,14.0
(2021 PP5),2021-08-10 00:04:00,0.03767,0.03753,7.07,7.06,26.6,13 m -   29 m,0.0,29.0
(2021 PL4),2021-08-11 00:40:00,0.04517,0.04498,4.63,4.62,27.6,8.0 m -   18 m,0.0,18.0
(2021 PA17),2021-08-14 00:03:00,0.00045,0.00045,17.43,17.08,27.8,7.3 m -   16 m,1.0,16.0
(2021 RD12),2021-08-15 00:09:00,0.03449,0.03442,9.11,9.1,23.6,50 m -  110 m,0.0,110.0
(2021 RE6),2021-08-16 00:10:00,0.03384,0.03346,4.29,4.27,26.2,16 m -   35 m,0.0,35.0
(2021 QW3),2021-08-16 03:47:00,0.03982,0.03921,12.61,12.61,26.2,16 m -   35 m,0.0,35.0
(2021 RC2),2021-08-18 00:03:00,0.01973,0.01971,7.7,7.68,24.3,37 m -   83 m,0.0,83.0
(2021 RS1),2021-08-20 02:37:00,0.02071,0.02045,7.29,7.28,26.3,14 m -   32 m,0.0,32.0
(2021 RK7),2021-08-22 01:18:00,0.03951,0.03902,16.23,16.22,24.3,38 m -   84 m,0.0,84.0
(2021 QO1),2021-08-23 00:02:00,0.01013,0.0101,7.71,7.67,26.9,11 m -   25 m,0.0,25.0
(2021 RZ3),2021-08-23 00:08:00,0.03678,0.03676,1.27,1.21,27.3,9.1 m -   20 m,0.0,20.0
(2021 RG),2021-08-23 01:39:00,0.02085,0.0204,11.15,11.14,25.1,25 m -   57 m,0.0,57.0
(2021 QE2),2021-08-24 00:03:00,0.00734,0.0073,11.85,11.81,24.4,34 m -   77 m,1.0,77.0
(2020 BC16),2021-08-24 02:21:00,0.03828,0.03742,6.74,6.73,25.1,25 m -   57 m,0.0,57.0
(2021 RL7),2021-08-26 05:20:00,0.01583,0.01547,4.76,4.73,28.3,5.9 m -   13 m,0.0,13.0
(2021 RP3),2021-08-27 00:01:00,0.01553,0.01543,11.1,11.08,24.9,27 m -   61 m,0.0,61.0
(2021 PL39),2021-08-27 00:03:00,0.04024,0.03951,16.47,16.46,25.2,24 m -   54 m,0.0,54.0
(2021 RA5),2021-08-27 01:02:00,0.01872,0.01845,9.73,9.72,25.0,26 m -   59 m,0.0,59.0
(2021 RV),2021-08-28 00:01:00,0.01224,0.01219,9.91,9.88,26.2,16 m -   35 m,0.0,35.0
(2021 RX),2021-08-28 00:02:00,0.01186,0.01178,3.91,3.85,27.9,7.1 m -   16 m,0.0,16.0
(2021 PB17),2021-08-28 01:09:00,0.02991,0.02923,6.47,6.46,25.4,22 m -   50 m,0.0,50.0
(2022 RA),2021-08-30 03:05:00,0.03058,0.02646,12.22,12.22,27.9,7.0 m -   16 m,0.0,16.0
(2021 QM2),2021-09-02 00:03:00,0.00336,0.00335,16.86,16.81,28.4,5.4 m -   12 m,0.0,12.0
(2021 RK4),2021-09-02 00:03:00,0.03168,0.03123,9.67,9.66,26.1,16 m -   36 m,0.0,36.0
(2021 RK1),2021-09-02 00:06:00,0.00868,0.00866,14.32,14.29,27.1,10 m -   22 m,0.0,22.0
(2022 RS1),2021-09-02 00:14:00,0.01762,0.01695,3.91,3.87,27.8,7.3 m -   16 m,0.0,16.0
(2021 RZ9),2021-09-03 00:01:00,0.01583,0.01565,11.18,11.17,26.2,15 m -   34 m,0.0,34.0
(2021 RT7),2021-09-03 00:11:00,0.03591,0.03535,8.77,8.76,26.1,16 m -   35 m,0.0,35.0
(2021 RA10),2021-09-04 00:02:00,0.00496,0.00494,5.21,5.1,25.4,22 m -   49 m,1.0,49.0
